,x1,y1,z1,x2,y2,z2
0,0,1,0.9830852150917053,1,0,0.9609444737434387
1,0,2,0.00042939759441651404,2,0,0.0026275215204805136
2,0,3,0.00021359504899010062,3,0,0.000534778751898557
3,0,4,0.0006212640437297523,4,0,0.0009204603265970945
4,0,5,0.0007320596487261355,5,0,0.0006538176094181836
5,0,6,0.00011725471267709509,6,0,0.0013758016284555197
6,0,7,0.000236542517086491,7,0,0.0006643807864747941
7,0,8,0.0006259995861910284,8,0,0.001659428235143423
8,0,9,0.0004761459422297776,9,0,0.0010275314562022686
9,0,10,7.358066795859486e-05,10,0,0.0014185465406626463
10,0,11,0.0005264035426080227,11,0,0.0017288661329075694
11,0,12,0.000962824618909508,12,0,0.0012133060954511166
12,0,13,0.0006462850142270327,13,0,0.0016188834561035037
13,0,14,0.0002241391921415925,14,0,0.0023207422345876694
14,0,15,0.001094629755243659,15,0,0.001273214933462441
15,0,16,0.00015643185179214925,16,0,0.0006143738282844424
16,0,17,0.00045636677532456815,17,0,0.0020969996694475412
17,0,18,0.0008691226830706,18,0,0.002289136406034231
18,0,19,0.00041641033021733165,19,0,0.0011538442922756076
19,0,20,0.001435915008187294,20,0,0.0018255938775837421
20,0,21,0.0003352834319230169,21,0,0.0008853710605762899
21,0,22,0.0024803336709737778,22,0,0.001614920562133193
22,0,23,0.0016132929595187306,23,0,0.0004912568256258965
23,0,24,0.00015567538503091782,24,0,0.0010864358628168702
24,0,25,5.683390554622747e-05,25,0,0.0022044400684535503
25,0,26,5.219502418185584e-05,26,0,0.0022790771909058094
26,0,27,0.00016419640451204032,27,0,0.0005718640168197453
27,0,28,0.00044638130930252373,28,0,0.001053082523867488
28,0,29,0.001296199974603951,29,0,0.0018518519354984164
